angle,sin,cos
0,0,10000000
2710,270f,fffffff
4e20,4e1f,fffffff
7530,752f,ffffffe
9c40,9c3f,ffffffd
c350,c34f,ffffffb
ea60,ea5f,ffffff9
11170,1116f,ffffff6
13880,1387f,ffffff4
15f90,15f8f,ffffff0
186a0,1869f,fffffed
1adb0,1adaf,fffffe9
1d4c0,1d4bf,fffffe5
1fbd0,1fbcf,fffffe0
222e0,222df,fffffdb
249f0,249ef,fffffd6
27100,270ff,fffffd0
29810,2980f,fffffca
2bf20,2bf1f,fffffc3
2e630,2e62f,fffffbc
30d40,30d3f,fffffb5
33450,3344f,fffffad
35b60,35b5f,fffffa5
38270,3826f,fffff9d
3a980,3a97f,fffff94
3d090,3d08f,fffff8b
3f7a0,3f79f,fffff82
41eb0,41eaf,fffff78
445c0,445bf,fffff6d
46cd0,46ccf,fffff63
493e0,493df,fffff58
4baf0,4baef,fffff4c
4e200,4e1ff,fffff41
50910,5090f,fffff35
53020,5301f,fffff28
55730,5572f,fffff1b
57e40,57e3f,fffff0e
5a550,5a54f,fffff01
5cc60,5cc5f,ffffef3
5f370,5f36f,ffffee4
61a80,61a7f,ffffed5
64190,6418f,ffffec6
668a0,6689f,ffffeb7
68fb0,68faf,ffffea7
6b6c0,6b6bf,ffffe97
6ddd0,6ddcf,ffffe86
704e0,704df,ffffe75
72bf0,72bef,ffffe64
75300,752ff,ffffe52
77a10,77a0f,ffffe40
7a120,7a11f,ffffe2e
7c830,7c82f,ffffe1b
7ef40,7ef3f,ffffe08
81650,8164f,ffffdf4
83d60,83d5f,ffffde0
86470,8646f,ffffdcc
88b80,88b7f,ffffdb7
8b290,8b28f,ffffda2
8d9a0,8d99f,ffffd8d
900b0,900af,ffffd77
927c0,927bf,ffffd61
94ed0,94ecf,ffffd4a
975e0,975df,ffffd33
99cf0,99cef,ffffd1c
9c400,9c3ff,ffffd05
9eb10,9eb0f,ffffced
a1220,a121f,ffffcd4
a3930,a392f,ffffcbb
a6040,a603f,ffffca2
a8750,a874f,ffffc89
aae60,aae5f,ffffc6f
ad570,ad56f,ffffc55
afc80,afc7f,ffffc3a
b2390,b238f,ffffc1f
b4aa0,b4a9f,ffffc04
b71b0,b71af,ffffbe8
b98c0,b98be,ffffbcc
bbfd0,bbfce,ffffbaf
be6e0,be6de,ffffb92
c0df0,c0dee,ffffb75
c3500,c34fe,ffffb57
c5c10,c5c0e,ffffb39
c8320,c831e,ffffb1b
caa30,caa2e,ffffafc
cd140,cd13e,ffffadd
cf850,cf84e,ffffabe
d1f60,d1f5e,ffffa9e
d4670,d466e,ffffa7e
d6d80,d6d7e,ffffa5d
d9490,d948e,ffffa3c
dbba0,dbb9e,ffffa1b
de2b0,de2ae,ffff9f9
e09c0,e09be,ffff9d7
e30d0,e30ce,ffff9b4
e57e0,e57de,ffff992
e7ef0,e7eee,ffff96e
ea600,ea5fd,ffff94b
ecd10,ecd0d,ffff927
ef420,ef41d,ffff903
f1b30,f1b2d,ffff8de
f4240,f423d,ffff8b9
f6950,f694d,ffff893
f9060,f905d,ffff86e
fb770,fb76d,ffff847
fde80,fde7d,ffff821
100590,10058d,ffff7fa
102ca0,102c9d,ffff7d3
1053b0,1053ad,ffff7ab
107ac0,107abd,ffff783
10a1d0,10a1cd,ffff75a
10c8e0,10c8dc,ffff732
10eff0,10efec,ffff709
111700,1116fc,ffff6df
113e10,113e0c,ffff6b5
116520,11651c,ffff68b
118c30,118c2c,ffff660
11b340,11b33c,ffff635
11da50,11da4c,ffff60a
120160,12015c,ffff5de
122870,12286c,ffff5b2
124f80,124f7c,ffff585
127690,12768b,ffff558
129da0,129d9b,ffff52b
12c4b0,12c4ab,ffff4fe
12ebc0,12ebbb,ffff4d0
1312d0,1312cb,ffff4a1
1339e0,1339db,ffff472
1360f0,1360eb,ffff443
138800,1387fb,ffff414
13af10,13af0b,ffff3e4
13d620,13d61a,ffff3b4
13fd30,13fd2a,ffff383
142440,14243a,ffff352
144b50,144b4a,ffff321
147260,14725a,ffff2ef
149970,14996a,ffff2bd
14c080,14c07a,ffff28a
14e790,14e78a,ffff258
150ea0,150e99,ffff224
1535b0,1535a9,ffff1f1
155cc0,155cb9,ffff1bd
1583d0,1583c9,ffff188
15aae0,15aad9,ffff154
15d1f0,15d1e9,ffff11f
15f900,15f8f9,ffff0e9
162010,162008,ffff0b3
164720,164718,ffff07d
166e30,166e28,ffff047
169540,169538,ffff010
16bc50,16bc48,fffefd8
16e360,16e358,fffefa1
170a70,170a68,fffef68
173180,173177,fffef30
175890,175887,fffeef7
177fa0,177f97,fffeebe
17a6b0,17a6a7,fffee85
17cdc0,17cdb7,fffee4b
17f4d0,17f4c7,fffee10
181be0,181bd6,fffedd6
1842f0,1842e6,fffed9b
186a00,1869f6,fffed5f
189110,189106,fffed23
18b820,18b816,fffece7
18df30,18df25,fffecab
190640,190635,fffec6e
192d50,192d45,fffec30
195460,195455,fffebf3
197b70,197b65,fffebb5
19a280,19a275,fffeb76
19c990,19c984,fffeb38
19f0a0,19f094,fffeaf8
1a17b0,1a17a4,fffeab9
1a3ec0,1a3eb4,fffea79
1a65d0,1a65c4,fffea39
1a8ce0,1a8cd3,fffe9f8
1ab3f0,1ab3e3,fffe9b7
1adb00,1adaf3,fffe976
1b0210,1b0203,fffe934
1b2920,1b2912,fffe8f2
1b5030,1b5022,fffe8af
1b7740,1b7732,fffe86d
1b9e50,1b9e42,fffe829
1bc560,1bc552,fffe7e6
1bec70,1bec61,fffe7a2
1c1380,1c1371,fffe75d
1c3a90,1c3a81,fffe719
1c61a0,1c6191,fffe6d4
